model,precision,recall,f1,auprc,threshold
RandomForest,1.0,1.0,1.0,1.0,0.2633333333333333
XGBoost,0.9497396422911478,0.9861307005171605,0.9675931265136662,0.9954222143747696,0.0108592547476291
