model,split_method,auprc,precision,recall,f1,threshold,tp,fp,fn,tn,fraud_catch_pct,false_alarm_pct,n_fraud_test,n_total_test
Time-Sorted (Temporal),Chronological 80/20,0.9958195499551725,0.9613272311212815,0.9875411377527034,0.9742578849721707,0.016865655779838562,4201,169,53,1268101,98.75411377527034,3.8672768878718538,4254,1272524
Random Split (Naive Baseline),Random 80/20 (stratified),0.9939009040976889,0.9502369668246445,0.9762629336579428,0.9630741519063344,0.9693743586540222,1604,84,39,1270797,97.62629336579428,4.976303317535545,1643,1272524
